reports reports r re rep repo s ts rts orts NNS lowercase word O O O
, , , ND ND ND , ND ND ND , ND punctuation O O O
one one o on one ND e ne one ND CD lowercase word B-Hour O O
little little l li lit litt e le tle ttle JJ lowercase word O O O
town town t to tow town n wn own town NN lowercase word B-LocationGeneralKey O B-GPE
may may m ma may ND y ay may ND MD lowercase word B-CalendarMonth O O
provide provide p pr pro prov e de ide vide VB lowercase word O O O
a a a ND ND ND a ND ND ND DT lowercase word O O O
big big b bi big ND g ig big ND JJ lowercase word O O O
lesson lesson l le les less n on son sson NN lowercase word O O O
. . . ND ND ND . ND ND ND . ND punctuation O O O

homecoming homecoming h ho hom home g ng ing ming NN lowercase word O O O
night night n ni nig nigh t ht ght ight NN lowercase word B-TimeUnit O O
postville postville p po pos post e le lle ille NN lowercase word O O B-GPE
feels feels f fe fee feel s ls els eels VBZ lowercase word O O O
like like l li lik like e ke ike like IN lowercase word O O O
hometown hometown h ho hom home n wn own town NN lowercase word O O B-GPE
, , , ND ND ND , ND ND ND , ND punctuation O O O
usa usa u us usa ND a sa usa ND NN lowercase word O O B-GPE
, , , ND ND ND , ND ND ND , ND punctuation O O O
but but b bu but ND t ut but ND CC lowercase word O O O
a a a ND ND ND a ND ND ND DT lowercase word O O O
look look l lo loo look k ok ook look NN lowercase word O O O
around around a ar aro arou d nd und ound IN lowercase word O O O
this this t th thi this s is his this DT lowercase word B-TimeModifier O O
town town t to tow town n wn own town NN lowercase word B-LocationGeneralKey O B-GPE
of of o of ND ND f of ND ND IN lowercase word B-Stop O O
2 2 2 ND ND ND 2 ND ND ND CD ND number O O B-PER
, , , ND ND ND , ND ND ND , ND punctuation O O I-PER
000 000 0 00 000 ND 0 00 000 ND CD ND number O O I-PER
shows shows s sh sho show s ws ows hows VBZ lowercase word O O O
it it i it ND ND t it ND ND PRP lowercase word B-Stop O B-GPE
' ' ' ND ND ND ' ND ND ND POS ND punctuation O O O
s s s ND ND ND s ND ND ND VBZ lowercase word O O O
become become b be bec beco e me ome come VB lowercase word O O O
a a a ND ND ND a ND ND ND DT lowercase word O O O
miniature miniature m mi min mini e re ure ture JJ lowercase word O O O
ellis ellis e el ell elli s is lis llis NNS lowercase word O O B-GPE
island island i is isl isla d nd and land NN lowercase word B-LocationGeneralKey O I-GPE
. . . ND ND ND . ND ND ND . ND punctuation O O O

was was w wa was ND s as was ND VBD lowercase word O O O
an an a an ND ND n an ND ND DT lowercase word O O O
all-white all-white a al all all- e te ite hite JJ lowercase word O O B-PER
, , , ND ND ND , ND ND ND , ND punctuation O O O
all-christian all-christian a al all all- n an ian tian JJ lowercase word O O B-PER
community community c co com comm y ty ity nity NN lowercase word B-OrgBase O B-GPE
that that t th tha that t at hat that IN lowercase word B-Stop O B-GPE
all all a al all ND l ll all ND PDT lowercase word O O O
the the t th the ND e he the ND DT lowercase word O O O
sudden sudden s su sud sudd n en den dden JJ lowercase word O O O
was was w wa was ND s as was ND VBD lowercase word O O O
taken taken t ta tak take n en ken aken VBN lowercase word O O O
over over o ov ove over r er ver over IN lowercase word O O O
- - - ND ND ND - ND ND ND : ND punctuation O O O
- - - ND ND ND - ND ND ND : ND punctuation O O O
not not n no not ND t ot not ND RB lowercase word O O O
taken taken t ta tak take n en ken aken VBN lowercase word O O O
over over o ov ove over r er ver over IN lowercase word O O O
, , , ND ND ND , ND ND ND , ND punctuation O O O
that that t th tha that t at hat that DT lowercase word B-Stop O O
' ' ' ND ND ND ' ND ND ND POS ND punctuation O O O
s s s ND ND ND s ND ND ND VBZ lowercase word O O O
a a a ND ND ND a ND ND ND DT lowercase word O O O
very very v ve ver very y ry ery very RB lowercase word O O O
bad bad b ba bad ND d ad bad ND JJ lowercase word O O O
choice choice c ch cho choi e ce ice oice NN lowercase word O O O
of of o of ND ND f of ND ND IN lowercase word B-Stop O O
words words w wo wor word s ds rds ords NNS lowercase word O O O
, , , ND ND ND , ND ND ND , ND punctuation O O O
but but b bu but ND t ut but ND CC lowercase word O O O
invaded invaded i in inv inva d ed ded aded VBD lowercase word O O O
by by b by ND ND y by ND ND IN lowercase word B-Stop O O
, , , ND ND ND , ND ND ND , ND punctuation O O O
perhaps perhaps p pe per perh s ps aps haps RB lowercase word B-Stop O O
different different d di dif diff t nt ent rent JJ lowercase word O O O
groups groups g gr gro grou s ps ups oups NNS lowercase word O O B-PER
. . . ND ND ND . ND ND ND . ND punctuation O O O

began began b be beg bega n an gan egan VBD lowercase word O O O
when when w wh whe when n en hen when WRB lowercase word O O O
a a a ND ND ND a ND ND ND DT lowercase word O O O
hasidic hasidic h ha has hasi c ic dic idic JJ lowercase word O O B-PER
jewish jewish j je jew jewi h sh ish wish NN lowercase word O O I-PER
family family f fa fam fami y ly ily mily NN lowercase word O O B-PER
bought bought b bo bou boug t ht ght ught VBD lowercase word O O O
one one o on one ND e ne one ND CD lowercase word B-Hour O B-FAC
of of o of ND ND f of ND ND IN lowercase word B-Stop O O
the the t th the ND e he the ND DT lowercase word O O O
town town t to tow town n wn own town NN lowercase word B-LocationGeneralKey O B-GPE
' ' ' ND ND ND ' ND ND ND '' ND punctuation O O O
s s s ND ND ND s ND ND ND VBZ lowercase word O O O
two two t tw two ND o wo two ND CD lowercase word B-Hour O O
meat-packing meat-packing m me mea meat g ng ing king JJ lowercase word B-IndustrySector O O
plants plants p pl pla plan s ts nts ants NNS lowercase word I-IndustrySector O B-FAC
13 13 1 13 ND ND 3 13 ND ND CD ND number O O O
years years y ye yea year s rs ars ears NNS lowercase word B-DateUnit O O
ago ago a ag ago ND o go ago ND RB lowercase word O O O
. . . ND ND ND . ND ND ND . ND punctuation O O O
first first f fi fir firs t st rst irst JJ lowercase word B-Stop O O
they they t th the they y ey hey they PRP lowercase word B-Stop O B-PER
brought brought b br bro brou t ht ght ught VBD lowercase word O O O
in in i in ND ND n in ND ND IN lowercase word O O O
other other o ot oth othe r er her ther JJ lowercase word O O O
hasidic hasidic h ha has hasi c ic dic idic JJ lowercase word O O O
jews jews j je jew jews s ws ews jews NNS lowercase word O O B-PER
, , , ND ND ND , ND ND ND , ND punctuation O O O
then then t th the then n en hen then RB lowercase word B-Stop O O
mexicans mexicans m me mex mexi s ns ans cans NNS lowercase word O O B-PER
, , , ND ND ND , ND ND ND , ND punctuation O O O
palestinians palestinians p pa pal pale s ns ans ians NNS lowercase word O O B-PER
, , , ND ND ND , ND ND ND , ND punctuation O O O
ukrainians ukrainians u uk ukr ukra s ns ans ians NNS lowercase word O O B-PER
. . . ND ND ND . ND ND ND . ND punctuation O O O
the the t th the ND e he the ND DT lowercase word O O O
plant plant p pl pla plan t nt ant lant NN lowercase word B-OrgBase O B-FAC
and and a an and ND d nd and ND CC lowercase word B-Stop O O
another another a an ano anot r er her ther DT lowercase word O O B-FAC
next next n ne nex next t xt ext next JJ lowercase word B-TimeModifier O O
store store s st sto stor e re ore tore NN lowercase word O O O
changed changed c ch cha chan d ed ged nged VBD lowercase word O O O
the the t th the ND e he the ND DT lowercase word O O O
face face f fa fac face e ce ace face NN lowercase word O O O
of of o of ND ND f of ND ND IN lowercase word B-Stop O O
postville postville p po pos post e le lle ille NN lowercase word O O B-GPE
. . . ND ND ND . ND ND ND . ND punctuation O O O

think think t th thi thin k nk ink hink VBP lowercase word O O O
postville postville p po pos post e le lle ille NN lowercase word O O B-GPE
might might m mi mig migh t ht ght ight MD lowercase word O O O
be be b be ND ND e be ND ND VB lowercase word O O O
catching catching c ca cat catc g ng ing hing VBG lowercase word O O O
up up u up ND ND p up ND ND RP lowercase word O O O
with with w wi wit with h th ith with IN lowercase word B-Stop O O
the the t th the ND e he the ND DT lowercase word O O O
rest rest r re res rest t st est rest NN lowercase word O O B-GPE
of of o of ND ND f of ND ND IN lowercase word B-Stop O O
america america a am ame amer a ca ica rica NN lowercase word O O B-GPE
. . . ND ND ND . ND ND ND . ND punctuation O O O
if if i if ND ND f if ND ND IN lowercase word O O O
you you y yo you ND u ou you ND PRP lowercase word B-Stop O B-PER
look look l lo loo look k ok ook look VBP lowercase word O O O
all all a al all ND l ll all ND DT lowercase word O O O
over over o ov ove over r er ver over JJ lowercase word O O O
america america a am ame amer a ca ica rica NN lowercase word O O B-GPE
, , , ND ND ND , ND ND ND , ND punctuation O O O
if if i if ND ND f if ND ND IN lowercase word O O O
you you y yo you ND u ou you ND PRP lowercase word B-Stop O B-PER
did did d di did ND d id did ND VBD lowercase word O O O
a a a ND ND ND a ND ND ND DT lowercase word O O O
study study s st stu stud y dy udy tudy NN lowercase word O O O
of of o of ND ND f of ND ND IN lowercase word B-Stop O O
any any a an any ND y ny any ND DT lowercase word O O O
great great g gr gre grea t at eat reat JJ lowercase word O O O
city city c ci cit city y ty ity city NN lowercase word B-LocationPostKey O B-GPE
, , , ND ND ND , ND ND ND , ND punctuation O O O
you you y yo you ND u ou you ND PRP lowercase word B-Stop O B-PER
would would w wo wou woul d ld uld ould MD lowercase word O O O
see see s se see ND e ee see ND VB lowercase word O O O
the the t th the ND e he the ND DT lowercase word O O O
same same s sa sam same e me ame same JJ lowercase word O O O
thing thing t th thi thin g ng ing hing NN lowercase word O O O
. . . ND ND ND . ND ND ND . ND punctuation O O O

plants plants p pl pla plan s ts nts ants NNS lowercase word O O B-FAC
helped helped h he hel help d ed ped lped VBD lowercase word O O O
spur spur s sp spu spur r ur pur spur VB lowercase word O O O
economic economic e ec eco econ c ic mic omic JJ lowercase word O O O
development development d de dev deve t nt ent ment NN lowercase word B-OrgKey O O
in in i in ND ND n in ND ND IN lowercase word O O O
a a a ND ND ND a ND ND ND DT lowercase word O O O
town town t to tow town n wn own town NN lowercase word B-LocationGeneralKey O B-GPE
that that t th tha that t at hat that WDT lowercase word B-Stop O B-GPE
had had h ha had ND d ad had ND VBD lowercase word O O O
long long l lo lon long g ng ong long RB lowercase word O O O
been been b be bee been n en een been VBN lowercase word O O O
stagnant stagnant s st sta stag t nt ant nant JJ lowercase word O O O
. . . ND ND ND . ND ND ND . ND punctuation O O O
stores stores s st sto stor s es res ores NNS lowercase word B-OrgKey O B-FAC
are are a ar are ND e re are ND VBP lowercase word O O O
expanding expanding e ex exp expa g ng ing ding VBG lowercase word O O O
. . . ND ND ND . ND ND ND . ND punctuation O O O
new new n ne new ND w ew new ND JJ lowercase word O O O
apartments apartments a ap apa apar s ts nts ents NNS lowercase word O O B-FAC
and and a an and ND d nd and ND CC lowercase word B-Stop O I-FAC
houses houses h ho hou hous s es ses uses NNS lowercase word O O I-FAC
are are a ar are ND e re are ND VBP lowercase word O O O
being being b be bei bein g ng ing eing VBG lowercase word O O O
built built b bu bui buil t lt ilt uilt VBN lowercase word O O O
. . . ND ND ND . ND ND ND . ND punctuation O O O
and and a an and ND d nd and ND CC lowercase word B-Stop O O
there there t th the ther e re ere here EX lowercase word O O O
are are a ar are ND e re are ND VBP lowercase word O O O
hundreds hundreds h hu hun hund s ds eds reds NNS lowercase word O O O
of of o of ND ND f of ND ND IN lowercase word B-Stop O O
new new n ne new ND w ew new ND JJ lowercase word O O O
jobs jobs j jo job jobs s bs obs jobs NNS lowercase word O O O
, , , ND ND ND , ND ND ND , ND punctuation O O O
making making m ma mak maki g ng ing king VBG lowercase word O O O
unemployment unemployment u un une unem t nt ent ment NN lowercase word O O O
almost almost a al alm almo t st ost most RB lowercase word O O O
nonexistent nonexistent n no non none t nt ent tent JJ lowercase word O O O
. . . ND ND ND . ND ND ND . ND punctuation O O O

else else e el els else e se lse else RB lowercase word O O O
would would w wo wou woul d ld uld ould MD lowercase word O O O
you you y yo you ND u ou you ND PRP lowercase word B-Stop O B-PER
like like l li lik like e ke ike like VBP lowercase word O O O
? ? ? ND ND ND ? ND ND ND . ND punctuation O O O

now now n no now ND w ow now ND RB lowercase word O O O
has has h ha has ND s as has ND VBZ lowercase word O O O
22 22 2 22 ND ND 2 22 ND ND CD ND number O O O
different different d di dif diff t nt ent rent JJ lowercase word O O O
nationalities nationalities n na nat nati s es ies ties NNS lowercase word O O O
, , , ND ND ND , ND ND ND , ND punctuation O O O
but but b bu but ND t ut but ND CC lowercase word O O O
some some s so som some e me ome some DT lowercase word O O O
resident resident r re res resi t nt ent dent NN lowercase word O O B-PER
haven haven h ha hav have n en ven aven NN lowercase word O O O
' ' ' ND ND ND ' ND ND ND '' ND punctuation O O O
t t t ND ND ND t ND ND ND NN lowercase word O O O
welcomed welcomed w we wel welc d ed med omed VBD lowercase word O O O
the the t th the ND e he the ND DT lowercase word O O O
newcomers newcomers n ne new newc s rs ers mers NNS lowercase word O O B-PER
. . . ND ND ND . ND ND ND . ND punctuation O O O

have 
